"year","species","n15_q50","n15_q95","hsc_q50","hsc_q95","ifsa","ifsa.var","bird_q50","bird_q95"
1997,"REKN",NA,NA,NA,NA,NA,NA,21,27
1998,"REKN",7,13,NA,NA,NA,NA,21,27
1999,"REKN",11,17,NA,NA,NA,NA,21,27
2000,"REKN",10,16,NA,NA,NA,NA,21,27
2001,"REKN",10,16,NA,NA,NA,NA,21,27
2002,"REKN",17,23,NA,NA,NA,NA,21,27
2003,"REKN",0,0,0.124732922694417,0.23316203550394,0.624850974355948,0.0115878959498615,21,27
2004,"REKN",9,15,0.599067556785424,0.744380697820473,0.70212685219539,0.00627745368696343,21,27
2005,"REKN",2,7,0.0665490938410842,0.297204672646401,0.60107464845083,0.00868253029926465,18,30
2006,"REKN",18,24,0.466708999032266,0.687495516657405,0.741965609887236,0.00783712400811783,24,30
2007,"REKN",6,12,0.496058600033034,0.688537772960286,0.882811726511425,0.00904200772879389,21,27
2008,"REKN",10,16,0.404366532858119,0.64712215961871,0.717297035453086,0.00681338521807027,21,30
2009,"REKN",7,16,0.400496382708278,0.589155862214022,0.756010269742978,0.00756045307759722,18,27
2010,"REKN",7,13,0.50855589345895,0.67456610080252,0.735473011836118,0.0184300458221918,21,27
2011,"REKN",5,11,0.377019115312054,0.578054234953353,0.657537595563346,0.00535635094660962,21,27
2012,"REKN",12,18,0.357084898370446,0.456296759922586,0.474485308332942,0.0106066512133713,18,24
2013,"REKN",8,14,0.426430875167735,0.566673407949965,0.88956363381553,0.0152074239937149,21,27
2014,"REKN",5,11,0.285591500554362,0.412525824934846,0.572661775674138,0.00476779515003214,21,27
2015,"REKN",11,17,0.515756526329333,0.666150168155854,0.72532169909597,0.0122436932611234,21,27
2016,"REKN",0,8,0.132257514573623,0.418369544355701,0.76025209738253,0.0100642775248325,15,27
2017,"REKN",NA,NA,0.0606576970865204,0.241661202445386,0.591616479702509,0.00924601524543062,18,27
2018,"REKN",11,20,NA,NA,NA,NA,18,27
1997,"RUTU",NA,NA,NA,NA,NA,NA,18,27
1998,"RUTU",4,13,NA,NA,NA,NA,18,27
1999,"RUTU",8,17,NA,NA,NA,NA,18,27
2000,"RUTU",7,16,NA,NA,NA,NA,18,27
2001,"RUTU",7,16,NA,NA,NA,NA,18,27
2002,"RUTU",14,23,NA,NA,NA,NA,18,27
2003,"RUTU",0,0,0.0834589880411831,0.23316203550394,0.624850974355948,0.0115878959498615,18,27
2004,"RUTU",6,15,0.504413679129417,0.744380697820473,0.70212685219539,0.00627745368696343,18,27
2005,"RUTU",2,7,0.0665490938410842,0.297204672646401,0.60107464845083,0.00868253029926465,18,30
2006,"RUTU",15,21,0.375724651793168,0.585232332102397,0.741965609887236,0.00783712400811783,21,27
2007,"RUTU",3,12,0.404519431230488,0.688537772960286,0.882811726511425,0.00904200772879389,18,27
2008,"RUTU",10,16,0.404366532858119,0.64712215961871,0.717297035453086,0.00681338521807027,21,30
2009,"RUTU",7,16,0.400496382708278,0.589155862214022,0.756010269742978,0.00756045307759722,18,27
2010,"RUTU",7,13,0.50855589345895,0.67456610080252,0.735473011836118,0.0184300458221918,21,27
2011,"RUTU",2,11,0.306917436033537,0.578054234953353,0.657537595563346,0.00535635094660962,18,27
2012,"RUTU",12,21,0.357084898370446,0.51819767561481,0.474485308332942,0.0106066512133713,18,27
2013,"RUTU",8,14,0.426430875167735,0.566673407949965,0.88956363381553,0.0152074239937149,21,27
2014,"RUTU",2,11,0.215246648619782,0.412525824934846,0.572661775674138,0.00476779515003214,18,27
2015,"RUTU",8,17,0.431377208420101,0.666150168155854,0.72532169909597,0.0122436932611234,18,27
2016,"RUTU",0,8,0.132257514573623,0.418369544355701,0.76025209738253,0.0100642775248325,15,27
2017,"RUTU",NA,NA,0.0606576970865204,0.322199047505457,0.591616479702509,0.00924601524543062,18,30
2018,"RUTU",14,20,NA,NA,NA,NA,21,27
