"year","species","q50","q95","State","type","tot.sqm","vartot","lcl90","ucl90"
2003,"REKN",0.124732922694417,0.23316203550394,"DE","Females",0.624850974355948,0.0115878959498615,0.470651764427287,0.829570331322743
2004,"REKN",0.599067556785424,0.744380697820473,"DE","Females",0.70212685219539,0.00627745368696343,0.583174636933513,0.845342176000721
2005,"REKN",0.0665490938410842,0.297204672646401,"DE","Females",0.60107464845083,0.00868253029926465,0.465777064680048,0.775673085703495
2006,"REKN",0.466708999032266,0.687495516657405,"DE","Females",0.741965609887236,0.00783712400811783,0.609738348467402,0.902867545790864
2007,"REKN",0.496058600033034,0.688537772960286,"DE","Females",0.882811726511425,0.00904200772879389,0.739464010862168,1.05394790418185
2008,"REKN",0.404366532858119,0.64712215961871,"DE","Females",0.717297035453086,0.00681338521807027,0.593591292094675,0.866783330419415
2009,"REKN",0.400496382708278,0.589155862214022,"DE","Females",0.756010269742978,0.00756045307759722,0.625692406641212,0.913470455914598
2010,"REKN",0.50855589345895,0.67456610080252,"DE","Females",0.735473011836118,0.0184300458221918,0.542870867358169,0.996407403056329
2011,"REKN",0.377019115312054,0.578054234953353,"DE","Females",0.657537595563346,0.00535635094660962,0.547523582410158,0.789656744420082
2012,"REKN",0.357084898370446,0.456296759922586,"DE","Females",0.474485308332942,0.0106066512133713,0.332014284036071,0.678092234728512
2013,"REKN",0.426430875167735,0.566673407949965,"DE","Females",0.88956363381553,0.0152074239937149,0.708172750991131,1.11741585298161
2014,"REKN",0.285591500554362,0.412525824934846,"DE","Females",0.572661775674138,0.00476779515003214,0.469631281025398,0.698295711057036
2015,"REKN",0.515756526329333,0.666150168155854,"DE","Females",0.72532169909597,0.0122436932611234,0.564343338296922,0.932218972881131
2016,"REKN",0.132257514573623,0.418369544355701,"DE","Females",0.76025209738253,0.0100642775248325,0.611906932436834,0.944560718200721
2017,"REKN",0.0606576970865204,0.241661202445386,"DE","Females",0.591616479702509,0.00924601524543062,0.452819947354159,0.772956361796137
2003,"RUTU",0.0834589880411831,0.23316203550394,"DE","Females",0.624850974355948,0.0115878959498615,0.470651764427287,0.829570331322743
2004,"RUTU",0.504413679129417,0.744380697820473,"DE","Females",0.70212685219539,0.00627745368696343,0.583174636933513,0.845342176000721
2005,"RUTU",0.0665490938410842,0.297204672646401,"DE","Females",0.60107464845083,0.00868253029926465,0.465777064680048,0.775673085703495
2006,"RUTU",0.375724651793168,0.585232332102397,"DE","Females",0.741965609887236,0.00783712400811783,0.609738348467402,0.902867545790864
2007,"RUTU",0.404519431230488,0.688537772960286,"DE","Females",0.882811726511425,0.00904200772879389,0.739464010862168,1.05394790418185
2008,"RUTU",0.404366532858119,0.64712215961871,"DE","Females",0.717297035453086,0.00681338521807027,0.593591292094675,0.866783330419415
2009,"RUTU",0.400496382708278,0.589155862214022,"DE","Females",0.756010269742978,0.00756045307759722,0.625692406641212,0.913470455914598
2010,"RUTU",0.50855589345895,0.67456610080252,"DE","Females",0.735473011836118,0.0184300458221918,0.542870867358169,0.996407403056329
2011,"RUTU",0.306917436033537,0.578054234953353,"DE","Females",0.657537595563346,0.00535635094660962,0.547523582410158,0.789656744420082
2012,"RUTU",0.357084898370446,0.51819767561481,"DE","Females",0.474485308332942,0.0106066512133713,0.332014284036071,0.678092234728512
2013,"RUTU",0.426430875167735,0.566673407949965,"DE","Females",0.88956363381553,0.0152074239937149,0.708172750991131,1.11741585298161
2014,"RUTU",0.215246648619782,0.412525824934846,"DE","Females",0.572661775674138,0.00476779515003214,0.469631281025398,0.698295711057036
2015,"RUTU",0.431377208420101,0.666150168155854,"DE","Females",0.72532169909597,0.0122436932611234,0.564343338296922,0.932218972881131
2016,"RUTU",0.132257514573623,0.418369544355701,"DE","Females",0.76025209738253,0.0100642775248325,0.611906932436834,0.944560718200721
2017,"RUTU",0.0606576970865204,0.322199047505457,"DE","Females",0.591616479702509,0.00924601524543062,0.452819947354159,0.772956361796137
