"","year","occ","est",".lower",".upper",".width",".point",".interval","cum_prob","species"
"1",1,1,0.00296610440282755,0.000331344338744614,0.00849915517025888,0.95,"mean","qi",0.00296610440282755,"REKN"
"2",2,1,0.0192897382740358,0.0110680689630631,0.0299926917220162,0.95,"mean","qi",0.0192897382740358,"REKN"
"3",3,1,0.0357028985174233,0.0272541290324687,0.0455151033676901,0.95,"mean","qi",0.0357028985174233,"REKN"
"4",4,1,0.0197641292681704,0.012668801178618,0.0286667821708159,0.95,"mean","qi",0.0197641292681704,"REKN"
"5",5,1,0.011646903053746,0.00744666974675985,0.0169128202540902,0.95,"mean","qi",0.011646903053746,"REKN"
"6",6,1,0.0174203286828293,0.00962529510863286,0.0275927227113798,0.95,"mean","qi",0.0174203286828293,"REKN"
"7",7,1,0.0280117317134761,0.0193946410004138,0.0386909165419079,0.95,"mean","qi",0.0280117317134761,"REKN"
"8",8,1,0.00662958798542334,0.00334457209088511,0.0110657992219154,0.95,"mean","qi",0.00662958798542334,"REKN"
"9",9,1,0.0310142063250387,0.0193721606622397,0.0457762772558867,0.95,"mean","qi",0.0310142063250387,"REKN"
"10",10,1,0.0184632005365892,0.010905459414115,0.0283239378818546,0.95,"mean","qi",0.0184632005365892,"REKN"
"11",11,1,0.0251669530312884,0.0178934426095685,0.0340100305028818,0.95,"mean","qi",0.0251669530312884,"REKN"
"12",12,1,0.114470420842517,0.0901132870059163,0.141494746861484,0.95,"mean","qi",0.114470420842517,"REKN"
"13",13,1,0.00466533028966724,0.00216346677277611,0.00820470371454041,0.95,"mean","qi",0.00466533028966724,"REKN"
"14",14,1,0.0197431286852121,0.0133523162074716,0.0275552784517781,0.95,"mean","qi",0.0197431286852121,"REKN"
"15",1,2,0.0556785069672723,0.0429315512000026,0.0700850454955347,0.95,"mean","qi",0.0586446113700999,"REKN"
"16",2,2,0.0167629659663225,0.0104878351642264,0.0244733385108108,0.95,"mean","qi",0.0360527042403583,"REKN"
"17",3,2,0.100537435449358,0.0897191836449394,0.111846719443712,0.95,"mean","qi",0.136240333966782,"REKN"
"18",4,2,0.00556006630440047,0.00284396876275108,0.00913890313672842,0.95,"mean","qi",0.0253241955725709,"REKN"
"19",5,2,0.0108809394225575,0.00740143803980051,0.0149080950411845,0.95,"mean","qi",0.0225278424763034,"REKN"
"20",6,2,0.0306607479944526,0.0226071197505663,0.0399977637145997,0.95,"mean","qi",0.0480810766772819,"REKN"
"21",7,2,0.0325177521755957,0.0255739568888544,0.0402411260008745,0.95,"mean","qi",0.0605294838890717,"REKN"
"22",8,2,0.0138388869291665,0.00925824557365371,0.0193398516456543,0.95,"mean","qi",0.0204684749145898,"REKN"
"23",9,2,0.0278770310488381,0.0194068822873777,0.0379037270284952,0.95,"mean","qi",0.0588912373738768,"REKN"
"24",10,2,0.108129791460671,0.0928473681282781,0.124490714724915,0.95,"mean","qi",0.12659299199726,"REKN"
"25",11,2,0.03346002110288,0.0269876114791602,0.0406443062871937,0.95,"mean","qi",0.0586269741341684,"REKN"
"26",12,2,0.0218022294742799,0.0141326002339789,0.0311281229516047,0.95,"mean","qi",0.136272650316797,"REKN"
"27",13,2,0.0109024909462637,0.00722095039137263,0.0153263025786701,0.95,"mean","qi",0.0155678212359309,"REKN"
"28",14,2,0.12409503911568,0.1106048411887,0.138363329771372,0.95,"mean","qi",0.143838167800892,"REKN"
"29",1,3,0.235021984337726,0.207359593056789,0.264377414548912,0.95,"mean","qi",0.293666595707826,"REKN"
"30",2,3,0.113923631290536,0.0957836268541304,0.133410134936672,0.95,"mean","qi",0.149976335530894,"REKN"
"31",3,3,0.120568986230277,0.108458925198175,0.133258675366419,0.95,"mean","qi",0.256809320197059,"REKN"
"32",4,3,0.0920801598456138,0.0789641059539596,0.106263493281112,0.95,"mean","qi",0.117404355418185,"REKN"
"33",5,3,0.0805318011615655,0.0703692163554102,0.0915230314540053,0.95,"mean","qi",0.103059643637869,"REKN"
"34",6,3,0.0826191943045739,0.0678369224831296,0.0990969233477996,0.95,"mean","qi",0.130700270981856,"REKN"
"35",7,3,0.137946107301445,0.122434471712791,0.154301718029153,0.95,"mean","qi",0.198475591190516,"REKN"
"36",8,3,0.112410721123752,0.0986312875927262,0.127080347908404,0.95,"mean","qi",0.132879196038342,"REKN"
"37",9,3,0.0483053622275799,0.0359965099002246,0.062470162533549,0.95,"mean","qi",0.107196599601457,"REKN"
"38",10,3,0.0995146651343603,0.0838675847232956,0.116062621065831,0.95,"mean","qi",0.22610765713162,"REKN"
"39",11,3,0.132078933503024,0.118082087174895,0.146623560351007,0.95,"mean","qi",0.190705907637192,"REKN"
"40",12,3,0.194615873701882,0.169768876619902,0.220769965607633,0.95,"mean","qi",0.330888524018679,"REKN"
