"year","rekn.catch","rekn.weighed","rekn.resight","rutu.catch","rutu.weighed","rutu.resight"
1997,5,893,NA,3,49,NA
1998,9,645,NA,12,875,NA
1999,11,1250,NA,11,700,NA
2000,5,886,NA,7,426,NA
2001,10,1359,NA,11,485,NA
2002,8,924,NA,11,909,NA
2003,10,1085,NA,13,1888,NA
2004,10,666,NA,13,508,NA
2005,7,401,1196,8,352,555
2006,9,445,1730,13,451,726
2007,7,497,3411,8,354,1046
2008,5,340,2453,8,605,1357
2009,7,603,2796,9,443,1185
2010,1,55,1746,6,227,987
2011,6,423,2648,9,452,896
2012,5,222,1948,6,236,957
2013,3,52,1310,6,354,1231
2014,5,341,1873,6,421,1177
2015,6,355,3034,6,286,1030
2016,7,172,1011,6,1009,1822
2017,9,856,2318,9,1122,1784
2018,6,576,2653,10,324,1318
