"year","wmin","wmax","p","b","start","stop","mean.rate"
1,"116.2 ( 92.8 , 135.6 )","185 ( 180.7 , 190.2 )","22.4 ( 21.8 , 23 )","25.9 ( 18.2 , 38.9 )","21.2 ( 20.2 , 22.2 )","23.5 ( 23.1 , 24 )","15.9 ( 13.2 , 19.4 )"
2,"113.4 ( 111.6 , 115.2 )","192.2 ( 187.6 , 196.9 )","21.8 ( 21.5 , 22.1 )","18.5 ( 14.8 , 22.9 )","20.1 ( 19.6 , 20.6 )","23.2 ( 22.8 , 23.6 )","14 ( 11.8 , 16.7 )"
3,"105.7 ( 97.4 , 112.8 )","193.1 ( 178 , 213.2 )","21.5 ( 18.8 , 24.8 )","3.5 ( 2.6 , 4.7 )","10.4 ( 6.8 , 13.1 )","25 ( 22 , 28.5 )","3.3 ( 2.9 , 3.9 )"
4,"123.7 ( 103.5 , 143.6 )","178.3 ( 161.6 , 204.8 )","19.2 ( 14.7 , 24.9 )","6.8 ( 1.5 , 24.3 )","10.6 ( 1 , 18.7 )","21.1 ( 14.9 , 28 )","3.7 ( 1.5 , 11 )"
5,"133.8 ( 118.3 , 143.7 )","185.8 ( 177.3 , 198.7 )","21.4 ( 19.8 , 22.9 )","14.5 ( 5.1 , 28.6 )","18.8 ( 13.8 , 21.3 )","23.3 ( 21.7 , 25.3 )","7 ( 3.9 , 11.3 )"
6,"112.2 ( 93.9 , 122.9 )","165.5 ( 146.8 , 192.6 )","20.1 ( 15.7 , 25.7 )","8.2 ( 1.7 , 29.4 )","11.2 ( 1 , 18.4 )","22.1 ( 16.5 , 28.9 )","3.7 ( 1.6 , 10.5 )"
7,"119.3 ( 113.5 , 124.4 )","181 ( 163.6 , 203.2 )","29 ( 27.3 , 30.9 )","16.9 ( 10.6 , 27 )","26.4 ( 24.7 , 28.1 )","31.2 ( 28.8 , 33.6 )","7.4 ( 5.1 , 10.6 )"
8,"103 ( 89.5 , 114.2 )","174.8 ( 164.2 , 191.6 )","20.2 ( 18.1 , 23 )","13.5 ( 4.8 , 28.3 )","17.4 ( 13.6 , 20.5 )","22.2 ( 19.3 , 26.2 )","9.8 ( 4.5 , 19.4 )"
9,"107.4 ( 88.3 , 122.9 )","171.6 ( 147.8 , 193.8 )","22.5 ( 17.2 , 27.9 )","4.6 ( 1.7 , 15.3 )","11 ( 1 , 19.4 )","25.2 ( 17.6 , 31.8 )","2.7 ( 1.4 , 6.2 )"
10,"120.4 ( 100.7 , 137.8 )","167 ( 153.8 , 190.5 )","23.1 ( 18.3 , 26.9 )","10.9 ( 0.8 , 28.2 )","16.4 ( 1 , 23.5 )","24.5 ( 11.7 , 29.9 )","4.2 ( 1.2 , 10.2 )"
11,"122.2 ( 108.1 , 133.9 )","180.7 ( 167.5 , 201.5 )","20.7 ( 18 , 23.6 )","11 ( 3.1 , 31.2 )","16.3 ( 8.6 , 20.1 )","23 ( 20.1 , 27.2 )","6.1 ( 2.6 , 14.9 )"
12,"111.2 ( 95.9 , 121.2 )","169 ( 152.7 , 190.3 )","25.6 ( 22.9 , 28.4 )","14.1 ( 4.6 , 29 )","22.1 ( 15.9 , 25.2 )","28 ( 25 , 32.1 )","6.3 ( 3 , 11.6 )"
13,"117.5 ( 98.4 , 131 )","173.8 ( 155.3 , 196.3 )","22.1 ( 19.3 , 25.7 )","9.7 ( 3.3 , 23.1 )","17.3 ( 10.5 , 21.3 )","24.8 ( 21 , 29.5 )","4.8 ( 2.4 , 8.9 )"
14,"116 ( 108.8 , 122.5 )","178.8 ( 169.7 , 189.1 )","22.1 ( 20.8 , 23.6 )","11.7 ( 4 , 19.1 )","18.7 ( 12.8 , 20.9 )","24.4 ( 22.5 , 26.9 )","7 ( 2.9 , 11 )"
15,"120.6 ( 111 , 128.2 )","175.4 ( 160.2 , 197.4 )","22.4 ( 19.6 , 25.4 )","13.7 ( 3.7 , 30.2 )","18.9 ( 11.3 , 22.3 )","24.5 ( 21.3 , 28.6 )","6.7 ( 2.7 , 13.3 )"
16,"118.7 ( 97.6 , 139.4 )","181.8 ( 164.3 , 203.9 )","21.5 ( 18.6 , 24.5 )","11.6 ( 2.7 , 27.5 )","17.5 ( 7.8 , 21.2 )","23.7 ( 20.5 , 27.8 )","6.9 ( 2.1 , 14.9 )"
17,"116 ( 108.8 , 122.5 )","178.8 ( 169.7 , 189.1 )","22.1 ( 20.8 , 23.6 )","11.7 ( 4 , 19.1 )","18.7 ( 12.7 , 20.9 )","24.4 ( 22.5 , 26.9 )","7 ( 2.9 , 11 )"
18,"110.1 ( 101.2 , 118.3 )","182.3 ( 164.9 , 206 )","19.9 ( 17.4 , 23.1 )","10.7 ( 3.8 , 24.8 )","16.1 ( 10.9 , 19.6 )","22.2 ( 19 , 26.4 )","8 ( 3.6 , 16.8 )"
